               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.025902,             0.01632,           0.0036888,              0.7987,             0.93111,             0.92144,             0.67261,            0.025297,           0.0053444,          0.00069438,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02593,            0.016165,            0.003969,             0.82433,             0.86444,              0.9292,             0.65433,            0.023624,            0.005594,          0.00073875,            0.005446,            0.005446,            0.005446
                  94,            0.025724,            0.016452,           0.0041146,             0.82898,             0.93019,             0.93042,               0.645,            0.024232,           0.0050881,          0.00075255,           0.0053965,           0.0053965,           0.0053965
                  95,            0.025691,            0.015879,            0.003437,              0.7232,             0.93111,             0.92408,             0.67924,            0.026094,           0.0049405,           0.0010266,            0.005347,            0.005347,            0.005347
                  96,            0.025093,            0.015804,            0.003341,              0.7245,             0.95627,             0.96145,             0.66797,            0.024602,           0.0053267,           0.0005875,           0.0052975,           0.0052975,           0.0052975
                  97,            0.025102,            0.016235,           0.0036667,             0.76278,             0.92265,             0.93729,             0.67039,            0.024844,           0.0051479,           0.0013912,            0.005248,            0.005248,            0.005248
                  98,            0.025378,            0.015588,           0.0035712,             0.94202,             0.78256,             0.92814,             0.65292,            0.024601,           0.0055249,          0.00063852,           0.0051985,           0.0051985,           0.0051985
                  99,            0.025539,            0.016323,           0.0041887,             0.71653,             0.93111,             0.93524,             0.66398,            0.026357,           0.0050755,          0.00083119,            0.005149,            0.005149,            0.005149
                 100,             0.02539,            0.016054,           0.0042257,             0.82217,             0.86444,             0.93048,             0.65207,             0.02395,           0.0051296,          0.00055622,           0.0050995,           0.0050995,           0.0050995
                 101,            0.025298,            0.015923,           0.0037958,             0.91491,             0.79022,             0.86187,             0.63764,            0.027415,           0.0056272,           0.0011755,             0.00505,             0.00505,             0.00505
                 102,            0.024404,            0.015627,           0.0030411,             0.82993,             0.93111,             0.92821,             0.66389,            0.026149,           0.0053484,          0.00076591,           0.0050005,           0.0050005,           0.0050005
                 103,            0.025014,            0.015759,            0.003851,             0.80276,             0.93111,             0.92815,             0.65588,            0.029074,            0.005506,          0.00095123,            0.004951,            0.004951,            0.004951
                 104,            0.024249,            0.015603,           0.0041061,             0.83483,             0.93111,             0.92789,             0.67162,            0.024721,           0.0057299,           0.0006736,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024367,            0.016082,           0.0038278,             0.90308,             0.86444,             0.92813,              0.6598,            0.026076,            0.005795,          0.00060372,            0.004852,            0.004852,            0.004852
                 106,             0.02463,            0.015889,           0.0035902,             0.89891,             0.86444,               0.929,             0.66979,            0.022495,           0.0056057,          0.00065157,           0.0048025,           0.0048025,           0.0048025
                 107,            0.024455,             0.01586,           0.0034047,             0.83951,             0.93111,             0.94975,             0.72244,             0.02613,           0.0051417,           0.0006005,            0.004753,            0.004753,            0.004753
                 108,            0.024245,            0.015534,           0.0028185,             0.76599,             0.95439,             0.96083,             0.70459,            0.025733,           0.0051451,          0.00055485,           0.0047035,           0.0047035,           0.0047035
                 109,            0.024218,            0.015636,           0.0031297,             0.71743,             0.93111,             0.93142,             0.66561,            0.025644,           0.0057013,          0.00076443,            0.004654,            0.004654,            0.004654
                 110,            0.024731,            0.015508,           0.0033109,             0.82765,             0.93111,             0.92821,             0.65389,            0.023449,           0.0053964,           0.0005239,           0.0046045,           0.0046045,           0.0046045
                 111,            0.024665,            0.015746,           0.0035496,             0.81801,             0.93111,             0.92843,             0.67828,            0.024576,           0.0052333,           0.0004853,            0.004555,            0.004555,            0.004555
                 112,            0.023914,            0.015327,           0.0034068,             0.79743,             0.93111,             0.92847,             0.65189,             0.02486,           0.0057516,          0.00081924,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023217,             0.01549,           0.0028747,             0.91104,             0.86444,             0.92099,             0.66612,            0.024997,           0.0054145,          0.00095151,            0.004456,            0.004456,            0.004456
                 114,            0.022786,            0.015348,           0.0030317,             0.89151,             0.86444,             0.92848,             0.67747,             0.02553,           0.0056233,          0.00063746,           0.0044065,           0.0044065,           0.0044065
                 115,            0.023578,             0.01575,           0.0029091,             0.88653,             0.93111,             0.92861,             0.66561,            0.022613,           0.0057354,          0.00066875,            0.004357,            0.004357,            0.004357
                 116,            0.023195,            0.014984,            0.002268,             0.86803,             0.93111,             0.92852,              0.6625,            0.024584,           0.0056698,           0.0011924,           0.0043075,           0.0043075,           0.0043075
                 117,            0.022793,             0.01508,           0.0032292,             0.79249,             0.93111,             0.92826,             0.67393,            0.022972,           0.0058353,            0.001108,            0.004258,            0.004258,            0.004258
                 118,             0.02309,            0.015226,           0.0027678,             0.77998,             0.93111,             0.92834,              0.6536,             0.02346,           0.0059319,           0.0010952,           0.0042085,           0.0042085,           0.0042085
                 119,            0.023353,            0.014924,           0.0032075,             0.88633,             0.93111,             0.92833,             0.67519,            0.021978,           0.0056975,          0.00094538,            0.004159,            0.004159,            0.004159
                 120,            0.023504,             0.01498,            0.002762,             0.82363,             0.93111,             0.92887,             0.69911,            0.025901,           0.0059371,          0.00081342,           0.0041095,           0.0041095,           0.0041095
                 121,            0.023409,            0.015448,           0.0028996,             0.74281,             0.95541,              0.9608,             0.69905,            0.025219,           0.0054834,          0.00040089,             0.00406,             0.00406,             0.00406
                 122,            0.022868,            0.015403,           0.0028267,             0.87228,             0.93111,              0.9498,              0.6733,            0.021226,            0.005501,          0.00036903,           0.0040105,           0.0040105,           0.0040105
                 123,            0.022775,            0.014904,           0.0036219,             0.83602,             0.94602,             0.96084,             0.69402,            0.023628,           0.0054038,          0.00052502,            0.003961,            0.003961,            0.003961
                 124,            0.022594,            0.014953,           0.0028067,             0.81679,             0.93111,             0.89539,             0.63161,            0.024534,           0.0059905,          0.00074199,           0.0039115,           0.0039115,           0.0039115
